drift_mode,algorithm,planning_steps,model_mode,half_life,is_oracle,reward_mean,reward_ci95,stale_mean,stale_ci95,model_error_mean,planning_abs_td_mean,q_norm_mean,n_seeds
gradual,dyna_1_recency_error_gate,1,recency_error_gate,750.0,False,-0.021495967014469076,0.0009223254433100682,0.00031422890829565044,0.00030296921615198237,0.009301776492853363,0.11045943168477435,10.86746343992249,10
gradual,dyna_1_recency_error_gate,1,recency_error_gate,1500.0,False,-0.02049690401594809,0.0011830282164385475,0.00163076315430586,0.0010293447227025677,0.008254214217819118,0.11732346948825115,11.622112641895173,10
gradual,dyna_5_keep_model,5,keep_model,0.0,False,0.058602658811372145,0.011647589738511434,0.3774630451201476,0.04690796453098872,0.01136566813152207,0.0613183264585067,24.848080286218334,10
gradual,dyna_5_oracle_flush,5,oracle_flush,0.0,True,0.08829263432241459,0.006933140429953469,0.0,0.0,0.0,0.03603629754240028,26.19798793521707,10
gradual,dyna_5_recency_aging,5,recency_aging,100.0,False,-0.011450049426890206,0.009237223175052224,5.372416077460606e-12,4.702973544159767e-12,0.007936050677749138,0.05419689157848386,7.678777209624656,10
gradual,dyna_5_recency_aging,5,recency_aging,250.0,False,0.017303073906980902,0.02337624828742608,2.010745073251651e-07,3.7870688276045395e-07,0.009166984103610032,0.06089099487973152,10.183376976587976,10
gradual,dyna_5_recency_aging,5,recency_aging,750.0,False,-0.009584887644644763,0.011728220841948273,4.244390914164569e-05,4.844775843865696e-05,0.009465060089185703,0.05466609841094473,9.070875561999346,10
gradual,dyna_5_recency_aging,5,recency_aging,1500.0,False,0.0038215885941613494,0.017618611175788897,0.00031710644906348914,0.00019077201966617407,0.011547416902540375,0.060830176208842936,13.448028351129787,10
gradual,dyna_5_recency_error_gate,5,recency_error_gate,100.0,False,0.009724834769688695,0.018907994343296052,2.223015045141334e-12,1.8064456090757913e-12,0.008376028534044237,0.05811227412787893,9.048663751933391,10
gradual,dyna_5_recency_error_gate,5,recency_error_gate,250.0,False,0.00532138788186348,0.023966903689319537,4.830822968492975e-06,9.467951189056838e-06,0.009559538932672185,0.05458095383096347,9.65609378442143,10
gradual,dyna_5_recency_error_gate,5,recency_error_gate,750.0,False,-0.004469861505635137,0.016190862598912704,0.00012130349593333684,0.00010192240090582422,0.009458147444406114,0.05631302012873107,9.243585029886797,10
gradual,dyna_5_recency_error_gate,5,recency_error_gate,1500.0,False,0.018481506515156378,0.02338072293652077,0.0009365457017364474,0.0006375320713144996,0.011869665109273494,0.06116519305108779,14.269640530898403,10
gradual,dyna_20_keep_model,20,keep_model,0.0,False,0.059452354894598027,0.03209769290963852,0.30443877001869674,0.10805128196739254,0.01167587057076885,0.030071815858604578,20.249182526485907,10
gradual,dyna_20_oracle_flush,20,oracle_flush,0.0,True,0.07071099389161424,0.028983452076414194,0.0,0.0,0.0,0.011240573547642206,22.898865428176933,10
gradual,dyna_20_recency_aging,20,recency_aging,100.0,False,0.04483375860538742,0.027980126105860842,7.522186441896149e-11,1.0630694133187863e-10,0.009327080212471417,0.017811379081840772,12.450535604813616,10
gradual,dyna_20_recency_aging,20,recency_aging,250.0,False,0.04341595641277012,0.02006090258985568,2.015621551055528e-07,3.9257981237340547e-07,0.011078338920547472,0.02628727360063506,11.598212099018411,10
gradual,dyna_20_recency_aging,20,recency_aging,750.0,False,0.07203647262241888,0.02919408522184133,0.0012863733656364943,0.0008027357748146228,0.012184778501906971,0.01239307314115802,22.064936081355718,10
gradual,dyna_20_recency_aging,20,recency_aging,1500.0,False,0.09238939530944984,0.004364350769568151,0.018801224553407103,0.0056514188029613876,0.012537633679337575,0.007072854250542185,27.695656736803272,10
gradual,dyna_20_recency_error_gate,20,recency_error_gate,100.0,False,0.03810567746752716,0.017593172685318754,4.0590212973191615e-12,2.4183169819440217e-12,0.009446438705555261,0.022949811251421166,10.82168484239239,10
gradual,dyna_20_recency_error_gate,20,recency_error_gate,250.0,False,0.046463004650945244,0.02427494931560742,1.1780747295115816e-06,2.286172527083954e-06,0.010490551476510363,0.022186047337043737,12.419855434894888,10
gradual,dyna_20_recency_error_gate,20,recency_error_gate,750.0,False,0.07371928907698391,0.02777858280309866,0.0024039641713931954,0.0014360276411835363,0.013200942171466534,0.011856437551443808,21.932131927846452,10
gradual,dyna_20_recency_error_gate,20,recency_error_gate,1500.0,False,0.09535527040783169,0.0014145864916241021,0.02092377366253354,0.004108036327433348,0.012008845851303872,0.005476933313102302,28.172509817725388,10
stochastic,dyna_1_keep_model,1,keep_model,0.0,False,0.004991578106243121,0.004976881985204349,0.59481283660591,0.012972218483955238,0.01726364963402563,0.1371430080706672,16.857858174749275,10
stochastic,dyna_1_oracle_flush,1,oracle_flush,0.0,True,0.012637622620679894,0.005711591202680105,0.0,0.0,0.0,0.08655197295015675,12.906669992860117,10
stochastic,dyna_1_recency_aging,1,recency_aging,100.0,False,0.020367382793644195,0.005003725595925033,0.3528060754091539,0.015063225036197328,0.0127230314766682,0.09307928518194772,10.558507443848306,10
stochastic,dyna_1_recency_aging,1,recency_aging,250.0,False,0.01726927746179212,0.006644622442851564,0.42914267465229283,0.017783114523694073,0.011637317701198111,0.09212849935171633,11.308216693005273,10
stochastic,dyna_1_recency_aging,1,recency_aging,750.0,False,0.019717983674099344,0.007470710445827978,0.4927668958271287,0.015946913330938887,0.013557833417572569,0.08967972306478841,11.790589664151224,10
stochastic,dyna_1_recency_aging,1,recency_aging,1500.0,False,0.02087214529446884,0.006000282258331061,0.5099705761796989,0.015117898184577037,0.013709213881067623,0.08612073133152545,12.161549151890549,10
stochastic,dyna_1_recency_error_gate,1,recency_error_gate,100.0,False,0.01918179333262557,0.006692433739471623,0.3468927622211291,0.013113120337507436,0.012490444007680655,0.08643197465312394,10.075331297276215,10
stochastic,dyna_1_recency_error_gate,1,recency_error_gate,250.0,False,0.019362672915670297,0.006060282563781777,0.4292820068430328,0.008398882324284773,0.011238801631992158,0.08093909805082215,11.077441838781201,10
stochastic,dyna_1_recency_error_gate,1,recency_error_gate,750.0,False,0.01807340737942651,0.006077251421012944,0.4854306771758444,0.015302290003158725,0.013090962905642637,0.08487815363088101,11.344926747583076,10
stochastic,dyna_1_recency_error_gate,1,recency_error_gate,1500.0,False,0.021242536511931247,0.005785383277063033,0.5153103473480787,0.016675958390691168,0.015039676109759637,0.07935453688398568,12.211126502304982,10
stochastic,dyna_5_keep_model,5,keep_model,0.0,False,0.03370132602550936,0.01236917041469231,0.5043120363765946,0.038639832728089234,0.016489357629753055,0.042537669834239,20.46950248268222,10
stochastic,dyna_5_oracle_flush,5,oracle_flush,0.0,True,0.010922056067253988,0.008305225197341537,0.0,0.0,0.0,0.06642893694719575,20.361815047384944,10
stochastic,dyna_5_recency_aging,5,recency_aging,100.0,False,0.008864474137442388,0.0031763143415592075,0.3305386709235071,0.019933241790747385,0.013342664727269086,0.07851245731668549,12.807353399974195,10
stochastic,dyna_5_recency_aging,5,recency_aging,250.0,False,0.010724437119876234,0.0043594541156973116,0.40530083189007005,0.014829592694409562,0.013205091862080517,0.07097653934535139,13.458718375475105,10
stochastic,dyna_5_recency_aging,5,recency_aging,750.0,False,0.013283834525765339,0.0038198264657975534,0.47013810388131505,0.014323970185636933,0.01294847292068092,0.06153796205706474,14.136734017407965,10
stochastic,dyna_5_recency_aging,5,recency_aging,1500.0,False,0.013257247462710387,0.003205797251397325,0.5067217004952271,0.011947036138425125,0.014157494913036686,0.05644765902002389,16.78816040204857,10
stochastic,dyna_5_recency_error_gate,5,recency_error_gate,100.0,False,0.007634935546267851,0.003749336585824964,0.3362616545909822,0.02064967441020427,0.013514091493649707,0.07389378297154672,11.919804036656537,10
stochastic,dyna_5_recency_error_gate,5,recency_error_gate,250.0,False,0.00899208353821475,0.0054581481520525835,0.4054627233319638,0.015807043944321388,0.013298144150837115,0.07060256909989199,12.813424359401008,10
