algorithm,switch_type,alpha,beta,gamma,n_seeds,early_reward_auc_mean,early_reward_auc_ci95,early_accept_auc_mean,early_accept_auc_ci95,early_q_norm_mean,early_q_norm_ci95,early_reward_bar_abs_error_mean,early_reward_bar_abs_error_ci95,late_reward_mean,late_reward_ci95,late_accept_rate_mean,late_accept_rate_ci95,late_q_norm_mean,late_q_norm_ci95,late_reward_bar_abs_error_mean,late_reward_bar_abs_error_ci95,diverged_mean,diverged_ci95
discounted_sarsa,sign_shift,0.1,0.03,0.9,10,2.5237877552009245,0.04544312133509053,0.4992448923332116,0.01933246317355213,88.68712273373724,2.781016972646953,2.8075611471391513,0.07273470600022564,2.5338641219657583,0.03606504788288951,0.5024611211884444,0.014939356572084271,380.59228547042096,2.9149986305871347,2.6399035164107874,0.0512366162456546,0.0,0.0
discounted_sarsa,sign_shift,0.1,0.03,0.97,10,2.0610531877903453,0.17713665895666628,0.41843013559166164,0.03973225572735532,138.48244967889548,10.776617451675188,2.5271515168978813,0.15729365526380784,2.0001224393458648,0.211995280328519,0.40975833098720466,0.04794292438878131,519.9578851135103,14.157428876089318,2.3502591725896496,0.17435056574715646,0.0,0.0
discounted_sarsa,sign_shift,0.1,0.03,0.99,10,1.9582644164167768,0.21272928229961557,0.4059443204699667,0.03757832232651657,171.08736341302796,12.60766320797833,2.475494228654555,0.19039594549067,1.9127018961776965,0.2810515268549897,0.3956917071584867,0.04723912217293054,587.9113845433855,33.748095094153186,2.287835821777294,0.23223299978637724,0.0,0.0
discounted_sarsa,sign_shift,0.1,0.1,0.9,10,2.5329939367920535,0.05403696277064249,0.5083891437037423,0.01195539003177406,88.97501928084391,2.46750405862866,2.4749457939821062,0.07217518503427833,2.581409389062414,0.038357505634520644,0.5157944333582258,0.014116771159324026,381.0808681847934,2.443645668762101,2.4473052907330275,0.06399559115225921,0.0,0.0
discounted_sarsa,sign_shift,0.1,0.1,0.97,10,2.3381540564020344,0.08259188004846413,0.4650548365226507,0.017905833436046906,127.69982658419767,2.920154117043866,2.45720301281447,0.0685816251967343,2.3799994506181505,0.08575094448003838,0.4694336377597431,0.022475173689671057,540.2772449963545,13.209138550018423,2.434721024390213,0.061179670902700004,0.0,0.0
discounted_sarsa,sign_shift,0.1,0.1,0.99,10,2.130913503537184,0.15764141444752341,0.4192410057946865,0.029878402160627322,165.89253081650688,6.4538447676679285,2.3635267627435605,0.1618765693842931,2.1478203667219224,0.19240411301148116,0.4186415257036816,0.033101195403561,583.4287241218823,27.11599139888237,2.3453864499890242,0.18412388001638885,0.0,0.0
discounted_sarsa,up_shift,0.02,0.001,0.9,10,2.1765118182468752,0.050277737945261164,0.5528777537079768,0.015804084383535658,74.96405481613883,1.4321436963115595,4.897656592347729,0.03215141619781653,2.2383050285329746,0.07508816250749668,0.5618584063811284,0.00786302084380927,197.05052332148117,1.6698704962748903,2.300455165515044,0.08538564065910365,0.0,0.0
discounted_sarsa,up_shift,0.02,0.001,0.97,10,2.1968000206781246,0.05841002934224066,0.5550603073136018,0.010861551649796073,93.88366426195854,2.248122153008972,4.913744903682117,0.04474240496623561,2.2301117551639207,0.07726179176709054,0.552379717326152,0.011827080096689447,258.78477057603493,3.603134419450367,2.3112461356970853,0.07040662975968708,0.0,0.0
discounted_sarsa,up_shift,0.02,0.001,0.99,10,2.1884024765299097,0.060064034790461435,0.5534676620836791,0.010155900125277229,101.37689550807342,1.8414263411601512,4.9108100569068,0.03739629775478224,2.2397077311355336,0.04182829300732234,0.5625351649652856,0.007120769191941788,286.07147512724134,4.85966692984679,2.288469918909509,0.04279813079472456,0.0,0.0
discounted_sarsa,up_shift,0.02,0.003,0.9,10,2.210079935388115,0.0747767528543787,0.5506410125444293,0.010729540997375643,75.1951810700356,1.3527332786674302,3.1570945848593897,0.05673312754518663,2.261351019995879,0.059050155968327495,0.5600409323610188,0.01262479476075809,197.64593994235744,1.6046919544689202,2.367035981523718,0.07696582601268258,0.0,0.0
