algorithm,scale,alpha,lambda,stable,diverged_seed_tail_mean,rmse_mean,rmse_ci95,prediction_change_mean,prediction_change_ci95
true_online_normalized,ten,0.01,0.8,True,0.0,0.5529912134683843,0.004226677497355616,6.179720934719516e-05,1.8494007250880983e-05
true_online_normalized,ten,0.03,0.8,True,0.0,0.4890995898817511,0.016905455714869976,0.00046220054369267136,0.00010874013833753651
true_online_normalized,ten,0.1,0.8,True,0.0,0.28923665730068476,0.04204632410196261,0.0026931085076956265,0.00039049377603549346
true_online_normalized,ten,0.3,0.8,True,0.0,0.13542164742782908,0.026815353674047835,0.00537982657051713,0.00035543214076446034
true_online_normalized,hundred,0.001,0.8,True,0.0,0.5730444639968088,0.000248439563599952,2.0924765438582417e-06,1.4291378926341283e-06
true_online_normalized,hundred,0.003,0.8,True,0.0,0.5694986138614586,0.0008897059412755413,8.653502204351421e-06,4.215601262239721e-06
true_online_normalized,hundred,0.01,0.8,True,0.0,0.5529912134468792,0.004226677501814966,6.179720943541528e-05,1.8494007273273878e-05
true_online_normalized,hundred,0.03,0.8,True,0.0,0.48909958980062795,0.01690545572981693,0.0004622005443411179,0.00010874013846899154
true_online_normalized,hundred,0.1,0.8,True,0.0,0.2892366571344232,0.04204632411212304,0.0026931085099360166,0.00039049377617446867
true_online_normalized,hundred,0.3,0.8,True,0.0,0.13542164740833154,0.026815353647779473,0.005379826571675947,0.00035543214070293155
true_online_normalized,uneven,0.001,0.8,True,0.0,0.5723240846422535,0.00036182847517359244,2.251523520678744e-06,1.4114554877108114e-06
true_online_normalized,uneven,0.003,0.8,True,0.0,0.5672909555386427,0.0012296250796601353,9.891382788445603e-06,4.377331647954534e-06
true_online_normalized,uneven,0.01,0.8,True,0.0,0.5462796715176647,0.00499731987976404,6.899815820928159e-05,2.109888135904348e-05
true_online_normalized,uneven,0.03,0.8,True,0.0,0.4781112166500713,0.016461876863295997,0.0004435847764776389,9.780098899408342e-05
true_online_normalized,uneven,0.1,0.8,True,0.0,0.29208945883412907,0.03899353926986961,0.0022888252247755614,0.00030901628251878957
true_online_normalized,uneven,0.3,0.8,True,0.0,0.15185846620695856,0.0345789434864604,0.004987420091468168,0.0004404223864608874
true_online_normalized,lognormal,0.001,0.8,False,0.0003154574132492113,147022.48989871246,288162.9564453748,360.83109514182206,707.2289415135007
true_online_normalized,lognormal,0.003,0.8,False,0.0006451612903225806,9408.353234962,13804.773576769581,693.5575342695537,1322.1390124214897
true_online_normalized,lognormal,0.01,0.8,False,0.0027620498042218605,1497817.1510125503,1255202.1545222008,21859.07053936813,15063.133965277317
true_online_normalized,lognormal,0.03,0.8,False,0.00673995430224745,1560131.2392466543,1024829.8519368354,123694.32566652517,56655.77539574141
true_online_normalized,lognormal,0.1,0.8,False,0.012895686239619134,3928176.8722860054,3259208.746955443,567647.9917808628,485099.14958064567
true_online_normalized,lognormal,0.3,0.8,False,0.005838446999407008,988841.9670663618,991327.8701973348,362294.60407553153,263492.3477793514
